WORD,FREQUENCY
heat,1
reservoir,0.995363931
exploration,0.814093649
power,0.715808994
temperature,0.685210941
usa,0.594807603
drilling,0.543347242
flow,0.535465925
direct,0.427445526
fracture,0.415855355
water,0.4121465
eg,0.370885489
hot,0.359758924
generation,0.344923505
pump,0.339360223
rock,0.334260547
production,0.333333333
engineering,0.315252666
heating,0.278627724
injection,0.270746407
hydro,0.269355586
basin,0.262401484
test,0.260083449
geochemistry,0.255910987
spring,0.250811312
simulation,0.248956885
california,0.247102457
economic,0.240148354
survey,0.239684747
pressure,0.235048679
fault,0.23041261
numerical,0.2229949
cycle,0.217431618
steam,0.216968011
low,0.214649977
permeability,0.207695874
environmental,0.199814557
silica,0.192396847
brine,0.190078813
enhanced,0.189615206
seismic,0.189151599
tracer,0.187297172
geology,0.178488642
cost,0.171998146
exchanger,0.171070932
mexico,0.169680111
ling,0.16689847
ground,0.163189615
corrosion,0.161798795
gas,0.160871581
stimulation,0.159944367
monitoring,0.159017153
geyser,0.15808994
potential,0.155308299
high,0.154844692
source,0.152990264
dry,0.152526657
scaling,0.151135837
volcanic,0.149745016
phase,0.149281409
hydraulic,0.147426982
binary,0.145572554
zone,0.141400093
alteration,0.139082058
district,0.136764024
gradient,0.133982383
gravity,0.133055169
isotope,0.132591562
chemical,0.132127955
reinjection,0.131664349
enthalpy,0.131200742
geophysic,0.126101066
valley,0.125173853
deep,0.124246639
resistivity,0.121001391
cooling,0.120074177
studies,0.11961057
borehole,0.115438108
nevada,0.113120074
magnetotelluric,0.112656467
method,0.111265647
turbine,0.109411219
general,0.109411219
co2,0.108947612
update,0.108020399
conductivity,0.108020399
chemistry,0.108020399
air,0.108020399
rate,0.107093185
management,0.106629578
japan,0.106629578
data,0.105702364
testing,0.104775151
stress,0.104775151
geothermometer,0.104311544
log,0.104311544
two,0.102457116
aquifer,0.100139082
scale,0.095503013
risk,0.0945758
geophysical,0.0945758
structure,0.094112193
de,0.094112193
seismicity,0.093648586
iceland,0.093184979
fracturing,0.091330552
3d,0.089939731
doe,0.089939731
control,0.088085304
efficiency,0.085767269
geochemical,0.085767269
surface,0.085303662
logging,0.085303662
hdr,0.084376449
utilization,0.083449235
carbon,0.082058414
state,0.081594808
country,0.081594808
mineral,0.081594808
zealand,0.081131201
research,0.080667594
circulation,0.080203987
cerro,0.079276773
parameter,0.07834956
indonesia,0.077885953
area,0.076958739
acid,0.076958739
geological,0.076958739
inversion,0.076495132
bore,0.076495132
transfer,0.076495132
space,0.075567918
prieto,0.075567918
evaluation,0.075104312
performance,0.074640705
lake,0.074640705
range,0.073713491
induced,0.073249884
lo,0.071859064
electricity,0.07093185
hole,0.07093185
element,0.069077422
storage,0.067686602
imperial,0.067686602
rankine,0.067686602
porosity,0.067222995
conceptual,0.066295781
groundwater,0.065368567
shallow,0.065368567
flash,0.065368567
philippine,0.065368567
network,0.064904961
properties,0.063977747
capacity,0.06351414
reable,0.06351414
electrical,0.06351414
natural,0.063050533
rift,0.063050533
turkey,0.062586926
organic,0.062586926
non,0.062123319
quality,0.062123319
river,0.061659713
emission,0.061659713
characterization,0.061196106
mt,0.060732499
tectonic,0.059805285
casing,0.059805285
volcano,0.059341678
regulatory,0.059341678
hawaii,0.058878071
hydrogen,0.057950858
us,0.057950858
h2s,0.057487251
italy,0.057487251
idaho,0.057023644
sulfide,0.056560037
salton,0.05609643
sea,0.05609643
sedimentary,0.05609643
electric,0.05609643
formation,0.055632823
inclusion,0.055632823
granite,0.05470561
thermodynamic,0.054242003
interaction,0.054242003
history,0.054242003
sustainability,0.053778396
east,0.053778396
cement,0.053314789
geologic,0.053314789
caldera,0.053314789
ph,0.052851182
tough2,0.052851182
material,0.052387575
structural,0.052387575
china,0.052387575
factor,0.051923968
supercritical,0.051460362
coso,0.050996755
international,0.050996755
oregon,0.050996755
map,0.050533148
fractured,0.050069541
measurement,0.050069541
downhole,0.049605934
magma,0.049605934
dominated,0.049605934
calcite,0.04867872
sustainable,0.04867872
mapping,0.04867872
geothermometry,0.04867872
condenser,0.04867872
policy,0.047751507
optimization,0.047751507
recovery,0.047751507
wairakei,0.047751507
oil,0.0472879
dioxide,0.0472879
change,0.046824293
impact,0.046360686
coupled,0.045897079
soultz,0.045897079
agencies,0.045897079
orc,0.044969866
wave,0.044506259
response,0.044506259
single,0.044506259
bit,0.044042652
operation,0.044042652
earthquake,0.043579045
transport,0.043579045
magnetic,0.043579045
regulation,0.043579045
decline,0.043115438
head,0.043115438
sensing,0.043115438
tomography,0.042651831
core,0.042651831
national,0.042188224
greenho,0.042188224
liquid,0.042188224
soil,0.041724618
great,0.041261011
density,0.041261011
self,0.041261011
tool,0.041261011
histories,0.041261011
convection,0.040797404
mud,0.040797404
graben,0.03987019
separator,0.03987019
feasibility,0.039406583
utah,0.039406583
remote,0.039406583
lost,0.039406583
finite,0.039406583
market,0.038942976
microseismicity,0.038942976
dixie,0.038942976
imaging,0.038479369
environment,0.038479369
vapor,0.038479369
australia,0.038015763
recharge,0.037552156
island,0.037552156
extraction,0.037552156
chloride,0.037552156
anomaly,0.037552156
condition,0.037552156
completion,0.037088549
subsidence,0.037088549
loop,0.037088549
waste,0.036624942
hydrology,0.036624942
information,0.036624942
la,0.036624942
multi,0.036161335
pipe,0.036161335
mountain,0.035697728
gis,0.035697728
exploitation,0.035697728
financing,0.035697728
costa,0.035697728
rica,0.035697728
carbonate,0.035234121
public,0.035234121
law,0.035234121
hybrid,0.034770515
mass,0.034770515
loss,0.034306908
distribution,0.034306908
microearthquake,0.034306908
transient,0.034306908
composition,0.033843301
hill,0.033843301
shear,0.033379694
velocity,0.033379694
noise,0.033379694
electromagnetic,0.033379694
curve,0.032916087
kenya,0.032916087
taupo,0.032916087
inhibitor,0.032916087
azufres,0.032916087
software,0.03245248
reserve,0.03245248
pollution,0.03245248
effect,0.031988873
regional,0.031988873
cascade,0.031988873
san,0.031525267
laboratory,0.031525267
humeros,0.031525267
larderello,0.031525267
thermo,0.03106166
database,0.03106166
reflection,0.03106166
calcium,0.03106166
sous,0.03106166
site,0.030598053
